요리명,요리재료내용,필수재료
열무김치,[재료] 열무 2단| 얼갈이 1단| 쪽파 1/2단 [양념] 홍고추 7개| 양파 1개| 생강 1쪽| 밀가루풀 적당량| 굵은소금 적당량| 생수 1컵| 마늘 4통| 고춧가루 적당량| 멸치액젓 적당량| 설탕 1작은술,"열무,얼갈이,쪽파"
무생채,[재료] 무채 5줌| 다진마늘 3컵| 고추가루 3컵| 설탕 1.5컵| 식초 1컵| 멸치액젓 1.8컵| 파 1개| 참기름 1티스푼,"무채,다진마늘,고추가루,설탕,식초,멸치액젓,파,참기름"
애호박볶음,[재료] 애호박 1개| 홍고추 1개| 새우젓 0.5~1T| 마늘 2알,"애호박,홍고추,새우젓,마늘"
계란말이,[재료] 달걀 5개| 소금 약간(맛보며가감)| 맛술 1큰술| 마요네즈 1큰술| 실파 1큰술| 기름 약간,"달걀,소금,맛술,마요네즈,실파,기름"
순두부찌개,[재료] 순두부 1팩(350g)| 바지락 200g| 멸치 다시 육수 400ml| 마무리용 계란노른자 1개?| 김치 썬거 1줌| 버섯 1줌| 호박 썬것 1줌| 대파 어슷썬것 1줌(반뿌리) [양념] 고추기름 3TS| 고추가루 1TS| 다진마늘 1TS| 국간장 2TS| 소금 약간,"순두부,바지락,멸치다시육수,계란노른자,김치썬거,버섯,호박썬것,대파어슷썬것"
두부김치,[재료] 두부 1모| 삼겹살 300g| 김치 1/4포기| 대파 1대| 양파 1/2개| 청양고추 1개| 홍고추 1개| 당근 1/3개 [양념] 설탕 1/2큰술| 물 1/2컵| 고춧가루 1+1/2큰술| 다진마늘 1큰술| 진간장 3큰술| 참기름 1큰술,"두부,삼겹살,김치,대파,양파,청양고추,홍고추,당근"
두부김치,[재료] 돼지목살(or삼겹살)| 배추김치| 두부| 양파| 대파| 참기름| 깻잎 [양념] 고춧가루 2T| 설탕 1T| 간장 4T| 다진 마늘 1T,"돼지목살,배추김치,두부,양파,대파,참기름,깻잎"
배추김치,[재료] 배추 2포기| 쪽파 1줌| 무 0.5개| 부추 1줌| 굵은소금 3컵| 물 3L [양념] 고춧가루 2컵| 멸치액젓 7큰술| 새우젓 5큰술| 다진마늘 6큰술| 다진생강 약간| 매실액기스 3큰술| 배즙 0.5컵| [밀가루풀]| 멸치다싯물 2컵| 밀가루 2큰술,"배추,쪽파,무,부추,굵은소금,물"
메추리알장조림,[재료] 메추리알 1kg| 물 2컵(대략)| 간장 1컵| 설탕 1/2컵| 조청(올리고당) 1/2컵| 마늘 1/2컵,"메추리알,물,간장,설탕,조청,마늘"
제육볶음,[재료] 돼지앞다리살 1/2근| 양파| 대파 [양념장] ?설탕 1스푼| 고춧가루 1스푼| 간장 1스푼| 고추장 1스푼| ?물엿 1스푼| 다진마늘 1스푼,"돼지앞다리살,양파,대파"
해물찜,[주재료] 낙지 1마리| 새우 4마리| 아구 3조각| 홍합 1줌| 절단게 4조각| 만득이 1줌| 찜용콩나물 3줌| 미나리 1/2단| 대파 1뿌리 [양념장] 고춧가루 8Ts| 진간장 1Ts| 설탕 1Ts| 간마늘 2Ts| 간생강 약간| 후추 약간| 요리수 약간| 소금 약간| 후추 약간| 참기름 1Ts,"낙지,새우,아구,홍합,절단게,만득이,찜용콩나물,미나리,대파"
닭볶음탕,[재료] 고추가루 2T| 파 1/3개| 마늘 3쪽| 닭 1마리| 감자 2개| 당근 1/3개| 양파 1/2개 [양념장] 고추장 2T| 간장 2T| 설탕 1.5T,"고추가루,파,마늘,닭,감자,당근,양파"
수육,[재료] 삼겹살(수육용)| 통마늘| 월계수잎| 양파| 대파| 소주| 된장,"삼겹살,통마늘,월계수잎,양파,대파,소주,된장"
코다리조림,[재료] 코다리 2마리| 무 1쪽| 대파 1개| 청양고추 1개| 다시마(10x10) 1장| 물 3컵| 마늘 1수저| 진간장 3수저| 고춧가루 1수저| 미림 2수저| 올리고당 1수저| 후추 약간| 참기름 약간| 기름 1수저,"코다리,무,대파,청양고추,다시마,물,마늘,진간장,고춧가루,미림,올리고당,후추,참기름,기름"
두부조림,[재료] 양파 1/2개| 두부 1/2모 [양념장] 간장(요리에센스 1큰술) 2큰술| 고춧가루 1큰술| 다진마늘 1큰술| 깨소금 1작은술| 참기름 1큰술,"양파,두부"
제육볶음,[재료] 돼지고기| 각종야채 [고기 밑간(800g 기준)] 간장 3| 다진마늘 2| 후추 0.2 [제육볶음 양념장 만들기] 간장 3| 고춧가루 7| 물엿 6| 다진마늘 2| 간양파 2| 맛술 1| 후추와 참기름 약간,"돼지고기,각종야채고기밑간,다진마늘,후추,고춧가루,물엿,다진마늘,간양파,맛술,후추와참기름"
닭볶음탕,[재료] 닭볶음탕용 닭고기 1팩| 표고버섯 3개| 파프리카 색깔별 1/2개| 고추 3개| 감자 1개| 양파 1개| 통마늘 1줌| 당면사리 취향껏 [양념] 다진마늘 1T| 설탕 1/2T| 간장 100ml| 굵은 고추가루 3T| 고운 고추가루 1T,"닭볶음탕용닭고기,표고버섯,파프리카색깔별,고추,감자,양파,통마늘,당면사리"
땅콩조림,[재료] 생땅콩 2.5컵| 간장 5큰술| 참치액 1큰술| 올리고당 2큰술| 설탕 1.5컵| 물 2.5컵| 통깨 약간,"생땅콩,간장,참치액,올리고당,설탕,물,통깨"
유부초밥,[재료] 유부 10장| 감자 50g| 당근 40g| 애호박 50g| 양파 1/4개| 달걀 2개,"유부,감자,당근,애호박,양파,달걀"
잔치국수,소면| 양파| 당근| 진간장| 국간장| 계란 2개 양념장 - 청양고추| 쪽파| 대파| 진간장 1/3컵| 국간장 1/3컵| 물 1/3컵| 고춧가루 1스푼| 다진마늘 1/2스푼| 설탕 1/2스푼| 참기름 3스푼| 으깬 깨 2스푼,"소면,양파,당근,진간장,국간장,계란,쪽파,대파,진간장,국간장,물,고춧가루,다진마늘,설탕,참기름,으깬깨"
건새우볶음,[재료] 건새우 100g [양념] 고추장 1큰술| 간장 2큰술| 케쳡 1큰술| 소주 1큰술| 올리고당 2큰술| 깨 약간 | 참기름 1큰술,건새우
감자탕,[재료] 돼지 뼈 1kg| 감자 4개| 우거지 6장| 시래기 조금| 깻잎 1묶음| 굵은 파 1/2단| 양파 1/2개| 청양고추 3개 [양념] 들깨가루 조금| 고춧가루 조금| 국간장 2큰술| 고춧가루 4큰술 | 다진 마늘 1큰술| 소금 조금| 후춧가루 조금,"돼지뼈,감자,우거지,시래기,깻잎,굵은파,양파,청양고추"
콩자반,[재료] 검은 서리태콩 2컵| 물 500ml [양념] 진간장 1국자| 물엿 2큰술| 황설탕 2큰술| 참기름 1/2큰술| 통깨 1큰술,"검은서리태콩,물"
찜닭,[재료] 닭 1마리| 감자 2개| 당근 1/3개| 당면 1줌| 인스턴트 커피 1수저| 다진 마늘 3수저| 양파 1개| 대파 약간 [양념] 간장| 설탕| 후춧가루 약간| 물엿,"닭,감자,당근,당면,인스턴트커피,다진마늘,양파,대파"
김치볶음밥,[재료] 달걀 2개| 신김치 1/2포기| 햄or베이컨or참치 기호에따라| 대파 1/2개| 고춧가루 1큰술| 간장 1큰술| 찬밥 2인분| 참기름 1큰술| 깨 약간| 김가루 약간,"달걀,신김치,햄"
잔치국수,[재료] 소면 2인분양| 애호박 1/2개| 김치 1줌| 김가루 조금 [양념] 간장 4숟가락| 고추가루 1숟가락| 파 약간| 양파 약간| 마늘 약간| 참기름 약간,"소면,애호박,김치,김가루"
김밥,[재료] 햄| 계란,"햄,계란"
메추리알장조림,[재료] 메추리알 40알| 양파 1/2| 마늘 5| 파(흰뿌리) 2 [양념] 간장 밥스푼 5| 올리고당 밥스푼 2| 설탕 1/2| 통후추| 소금| 식초,"메추리알,양파,마늘,파"
무생채,[재료] 무 1사발 [양념] 고춧가루 1/2컵| 설탕 1/3 소주컵| 꽃소금 1/4 소주컵| 식초 1/3 소주컵| 간마늘 1/3 소주컵,무
콩자반,[필수재료] 검정콩 2cup [양념재료] 간장 1/3cup| 설탕 2T| 올리고당or물엿 1T| 참기름 1T| 참깨 1/3T,검정콩
떡꼬치,[재료] 고추장 1숟가락| 케찹 3숟가락| 진간장 1/2숟가락| 설탕 1/2숟가락| 올리고당 2숟가락| 다진마늘 1/2숟가락| 통깨 약간| 떡볶이떡 적당량,"고추장,케찹,진간장,설탕,올리고당,다진마늘,통깨,떡볶이떡"
계란국,[재료] 계란| 양파| 대파(or청경채) [양념] 다시멸치| 새우젓| 소금,"계란,양파,대파"
라면,[재료 (1인분)] 라면(안***) 1개| 깻잎(10장) 1묶음| 거피들깨가루 소복히 1큰술| 청양고춧가루 1/2작은술| 찬밥 1공기,"재료,깻잎,거피들깨가루,청양고춧가루,찬밥"
닭볶음탕,[재료] 닭볶음용 닭 1팩| 감자 2개| 당근 1/2개| 양파 1개| 마늘 4쪽| 대파 1/2개| 청양고추 1개| 홍고추(선택) 1개 [양념 ] 설탕 3큰술| 고춧가루 1/2종이컵| 간장 1/2컵| 다진 마늘 1큰술,"닭볶음용닭,감자,당근,양파,마늘,대파,청양고추,홍고추,고춧가루,간장,다진마늘"
꽈리고추무침,[재료] 꽈리고추 큰걸로1봉지| 쪽파 4~5개| 밀가루 2큰술 [양념] 간장 2큰술| 고춧가루 1큰술| 설탕 1/2큰술| 마늘 1/2큰술| 통깨 1큰술| 참기름 넉넉히,"꽈리고추,쪽파,밀가루"
김치전,[재료] 김치| 부침가루 [양념] 고추가루 1큰술| 설탕(신김치일 경우) 1작은술,"김치,부침가루"
떡꼬치,[재료] 떡볶이떡 18개 [양념] 고추장 1+1/2큰술| 케찹 2큰술| 고춧가루 1/2큰술| 간장 2큰술| 물 2큰술| 설탕 1큰술| 물엿 2큰술| 카레가루 1작은술| 다진마늘 1작은술| 다진양파 1큰술,떡볶이떡
계란말이,[재료] 계란 3개| 대파| 당근 1토막| 애호박 1토막| 빨강파프리카 [양념] 소금 약간,"계란,대파,당근,애호박,빨강파프리카"
콩나물국,[재료] 콩나물 2줌| 다진마늘 1/2스푼| 다시마소금| 멸치다시마육수 4컵,"콩나물,다진마늘,다시마소금,멸치다시마육수"
계란찜,[재료] 계란^^| 우유또는물 [양념] 꽃소금 악간 | 미원 약간,"계란,우유"
메추리알장조림,[재료] 메추리알 1판(25알)| 새송이버섯 2개| 꽈리고추 1줌| 소금 조금| 물 2컵| 설탕 1T| 맛술 1T| 간장 5T,"메추리알,새송이버섯,꽈리고추,소금,물,설탕,맛술,간장"
땅콩조림,[재료] 생땅콩 3줌| 각종견과류 2줌| 간장 4스푼| 맛술 1스푼| 매실액 2스푼| 올리고당 5스푼| 통깨 적당히,"생땅콩,각종견과류,간장,맛술,매실액,올리고당,통깨"
두부조림,[재료] 두부| 카놀라유| 간장| 올리고당| 양파| 당근| 파| 통깨| 참기름| 고춧가루,"두부,카놀라유,간장,올리고당,양파,당근,파,통깨,참기름,고춧가루"
오이소박이,[재료] 오이 8개 [양념] 부추 1/2단| 양파 1/2개| 홍고추 2개| 청양고추 2개| 다진 마늘 1큰술| 멸치액젓 3큰술| 새우젓 2-3큰술| 깨 1큰술| 설탕 2큰술| 매실청 1큰술| 다진 생강 조금,오이
오이소박이,[필수재료] 오이 4개| 부추 1줌| 당근 1/3개| 양파 1/2개| 물 800ml| 굵은 소금 4T [양념재료] 고춧가루 4T| 멸치액젓 2T| 설탕 1/2T| 매실 1/2T| 다진마늘 1T,"오이,부추,당근,양파,물,굵은소금"
메추리알장조림,[재료] 메추리알 25개 [양념] 간장 5스푼| 물 2컵| 설탕 1스푼| 맛술 1스푼,메추리알
두부조림,[재료] 두부 1모| 양파| 달걀 1개| 청양고추 2개| 대파| 다진마늘 1T [양념] 고춧가루 1+1/2스푼| 통깨| 설탕 1T| 간장 3T| 소금| 후추| 물,"두부,양파,달걀,청양고추,대파,다진마늘"
제육볶음,[재료] 돼지고기| 설탕| 야채 [양념 비율] 간장 2| 고추장 2| 고춧가루 2| 물엿 2| 다진마늘 2| 굴소스 1| 미림(소주) 2,"돼지고기,설탕,야채간장,고추장,고춧가루,물엿,다진마늘,굴소스,미림"
순두부찌개,[재료] 순두부 1팩| 청양고추 2개| 대파 1/3줄기| 계란 1개| 바지락 7개 [양념] 식용유 1T| 참기름 1T| 다진양파 5T| 다진파 2/3줄기| 고추가루 2T| 새우젓 1T| 설탕 1t| 간장 2T| 돼지고기 간것 100g,"순두부,청양고추,대파,계란,바지락"
떡볶이,[재료] 떡 30개| 어묵 2장 [양념] 물 4컵| 고추장 1큰술| 물엿 1.5큰술| 간장 1.5큰술,"떡,어묵"
동태찌개,[재료] 동태 2마리| 무| 쑥갓| 청양고추| 대파 2뿌리 [양념] 다진마늘 1+1/2큰술| 대파 2뿌리| 새우젓 1/2큰술| 국간장 1/3컵| 고추가루| 된장 1/2큰술| 고추장 1큰술,"동태,무,쑥갓,청양고추,대파"
된장찌개,[재료] 된장 1큰술| 두부 1모| 애호박 1개| 감자 2개| 양파 1개| 청양고추 2개 [양념] 마늘| 고춧가루 2큰술,"된장,두부,애호박,감자,양파,청양고추"
콩나물국,[재료] 콩나물 1/2근| 고추 1개 [양념] 고추가루 1T| 다진마늘 1T| 소금 약간| 멸치 10마리,"콩나물,고추"
콩나물국,[재료] 콩나물 1/2봉| 대파 약간| 홍고추 1/2개| 다시마 2장| 국물용멸치 10마리| 물 6컵| 굵은소금 1/2T| 국간장 1T| 다진마늘 1/2T| 새우젓 1/3T,"콩나물,대파,홍고추,다시마,국물용멸치,물,굵은소금,국간장,다진마늘,새우젓"
떡꼬치,[재료] ?떡볶이떡| 꼬치 [떡꼬치소스] 고추장 1스푼| 케찹 3스푼| 물엿 1스푼| 간장 1스푼| 설탕 1스푼| 미림 1스푼| 다진마늘 1스푼,"떡볶이떡,꼬치고추장,케찹,물엿,간장,설탕,미림,다진마늘"
순두부찌개,[재료] 순두부 1봉| 자숙 왕꼬막 150g| 계란 1개| 쌀뜨물 2컵 [양념] 고추가루 2T | 고추장 1t| 소고기다시다 1t| 마늘 1T| 올리브오일 1T| 소금 약간| 파 약간,"순두부,자숙왕꼬막,계란,쌀뜨물"
동태찌개,[재료] 동태 1한 마리| 무 1+1/2줌| 두부 1/2모| 대파 1/4대| 청양고추 1개| 다시마 육수 4컵 [양념] 고추장 1큰술| 고춧가루 1+1/2큰술| 국간장 1큰술| 청주 1큰술| 다진마늘 1큰술| 다진생강 1작은술| 후춧가루 1/4작은술,"동태,무,두부,대파,청양고추,다시마육수"
순두부찌개,[재료] 순두부 1봉지| 애호박 1/4개| 느타리버섯 1줌| 청양고추 1개| 쪽파 송송 약간| 달걀 1개 [양념] 간돼지고기 1컵| 다진 양파 2컵| 파송송 1컵| 참기름+식용유 1/2컵| 간마늘 1/2컵| 간장 1/2컵| 고춧가루 1.5컵| 소금 1/4컵| 설탕 1.5스푼| 후추 약간| 새우젓 약간,"순두부,애호박,느타리버섯,청양고추,쪽파송송,달걀"
소세지볶음,[재료] 시골돼지소세지 4개| 양파 1/2개| 청피망 1/2개| 빨강 파프리카 1/2개| 노랑 파프리카 1/2개| 식용유 약간| 소금 약간 [볶음양념] 굴소스 1큰술| 간장 1큰술| 우스터소스 1큰술| 황설탕 1작은술| 마늘(다지기) 2알,"시골돼지소세지,양파,청피망,빨강파프리카,노랑파프리카,식용유,소금굴소스,간장,우스터소스,황설탕,마늘"
간장게장,[재료] 암꽃게 5kg| 양파 큰거 1개| 마른고추 6개| 대파 15cm정도 2개| 다시마 2조각| 감초 2조각| 통마늘 20개 [양념] 양조간장 1.7리터 한병| 물 3.4리터,"암꽃게,양파,마른고추,대파,다시마,감초,통마늘"
쫄면,[재료] 쫄면| 콩나물| 당근| 오이| 계란 [양념] 고추장 2큰술| 고추가루 1큰술| 식초 2큰술| 간장 1/2큰술| 물엿 1큰술| 설탕 1작은술| 사이다 2큰술| 다진마늘 1큰술| 다진파 1/2큰술| 참기름 1/2큰술| 통깨,"쫄면,콩나물,당근,오이,계란"
닭볶음탕,[재료] 닭 1마리| 감자| 양파| 대파 [양념장] 고추장 4스푼| 고춧가루 2스푼| 설탕 1스푼| 청주 3스푼| 간장 3스푼| 다진마늘 1스푼| 생강가루 0.3스푼| 참기름 1/2스푼| 후추 톡톡,"닭,감자,양파,대파"
김치볶음밥,[재료] 김치 약간| 베이컨 베이컨2줄| 계란 1개 [양념] 설탕| 김가루| 간장,"김치,베이컨베이컨,계란"
잡채,[재료] 당면(20인분) 1봉지| 돼지등심 200g| 생표고 10개| 불린 목이버섯 10장| 시금치 1단| 당근 1개| 양파 큰것 1개 [고기 양념] 청주| 진간장| 다진마늘| 참기름 1작은술씩| 허브| 생강가루| 후춧가루 약간 [잡채 양념] 진간장 10큰술| 다진마늘 2큰술| 통깨 2큰술| 참기름 3큰술,"당면,돼지등심,생표고,불린목이버섯,시금치,당근,양파,진간장,다진마늘,참기름,허브,생강가루,후춧가루진간장,다진마늘,통깨,참기름"
비빔밥,[재료] 돼지고기 100g| 애호박 1/5개| 양파 1/2개| 당근 1/3개 [양념] 고추장 2T| 간장 2T| 설탕 1.5T| 깨소금 1t| 참기름 1t| 식초 1T,"돼지고기,애호박,양파,당근"
순두부찌개,[재료] 순두부 1/2개| 바지락 4개| 오징어 조금| 미나리(쑥갓) 2줄기| 육개장 양념 1큰술| 다진마늘 1작은술| 소금 1작은술| 가스오부시 국물 1+1/2컵| 달걀 1개 [육수 재료] 가스오부시 1/2주먹| 물 2컵 [양념] 소기름 100g| 식물성 기름 1큰술| 새우젓 1큰술| 진간장 1큰술| 소금 1작은술| 다진마늘 1큰술| 다진생강 1작은술| 고춧가루 3컵,"순두부,바지락,오징어,미나리,육개장양념,다진마늘,소금,가스오부시국물,달걀,물"
순대,[필수재료] 가지 2개| 찰밥 1컵| 소금 1/4T| 찹쌀가루 1T| 미림 1T [속재료] 돼지고기 100g| 후추 약간| 청양고추 1/2T| 다진양파 1/2C| 다진파 1/2C| 다진고추 1/2T| 다진마늘 1/2T| 간장 1T| 참기름 1/2T| 통깨 1T,"가지,찰밥,소금,찹쌀가루,미림,후추,청양고추,다진양파,다진파,다진고추,다진마늘,간장,참기름,통깨"
콩나물국,[재료] 콩나물 1/2봉지| 육수용멸치 10마리| 다시마 3조각| 국간장 1큰술| 새우젓 1/2큰술| 다진마늘 1큰술| 소금 1/2큰술| 대파 1/2개| 청양고추 2개,"콩나물,육수용멸치,다시마,국간장,새우젓,다진마늘,소금,대파,청양고추"
파김치,[재료] 쪽파 1단 [양념] 고춧가루 2/3컵| 멸치액젓 6스푼| 매실액 3스푼| 설탕 1스푼| 찹쌀풀 약간(없으면생략해도무방해요),쪽파
두부조림,[두부조림 재료] 두부 1모| 청양고추 2개| 대파 취향껏 [두부조림 양념] 고춧가루 2T| 간장 4T| 다진마늘 1T| 참기름 1T,"두부,청양고추,대파고춧가루,간장,다진마늘,참기름"
닭볶음탕,[재료] 닭고기(영계) 2마리| 감자(중) 5~7개| 당근(중) 1개| 양파(대) 1개| 풋고추 3~5개| 청양고추(홍고추)(생략가능) 3~4개| 다진마늘 2숟가락| 다진생강/슬라이스 2/3숟가락(5쪽)| 물(200CC) 5컵| 떡볶이떡 1/2봉지| 대파 2뿌리정도 [양념소스 재료] 국간장(집간장) 5숟가락| 고추장 5숟가락| 고춧가루 3숟가락| 설탕 3숟가락 [닭데칠때 재료] 소금 1/2숟가락| 후추가루 톡톡,"닭고기,감자,당근,양파,풋고추,청양고추,다진마늘,다진생강"
멸치볶음,[재료] 멸치 2컵| 아몬드슬라이스 1줌| 청양고추 조금| 홍고추 조금| 참기름 1스푼 [양념] 간장 1스푼| 올리고당 4스푼| 맛술 1스푼| 매실액 1스푼| 깨 1스푼| 물 3스푼(조절 가능),"멸치,아몬드슬라이스,청양고추,홍고추,참기름"
콩자반,[재료] 콩 1+1/2컵| 물 3컵 [양념] 간장 5큰술| 참기름 약간| 통깨 약간| 물엿 2큰술| 흑설탕 2큰술,"콩,물"
무생채,[재료] 채 썬 무 1대접| 다진 대파 1소주잔| 고춧가루 1/2소주잔| 멸치액젓 1/4소주잔| 식초 1/4소주잔| 설탕 1/3소주잔| 다진 마늘 1TS| 소금 약간| 통깨 약간,"채썬무,다진대파,고춧가루,멸치액젓,식초,설탕,다진마늘,소금,통깨"
닭볶음탕,[재료] 닭 1마리| 감자(중) 2개| 당근 1/3개| 양파 1개| 표고버섯 적당량| 대파 1개| 청양고추 2개 [양념장] 설탕 3큰술| 고춧가루 3큰술| 물 3컵| 간장 적당량| 후추 적당량,"닭,감자,당근,양파,표고버섯,대파,청양고추"
새우볶음밥,[재료] 새우살 200g| 옥수수콘 3~4큰술| 오이 1/2개| 달걀 3개| 밥 3인분 [양념] 진간장 2큰술| 소금 조금| 후추 약간 | 참기름| 식용유 적당량 ,"새우살,옥수수콘,오이,달걀,밥"
김치찌개,[재료] 배추김치 1/4포기| 돼지고기 목살 150g| 대파 1/3줄기| 두부 1/2모| 떡국떡 8알| 멸치국물 5컵| 김칫국물 1/2컵 [김치볶음 양념] 버터 1작은술| 김칫국물 2큰술| 다진 마늘 1작은술| 들기름(식용유) 1/2큰술 [돼지고기 양념] 고추장 1큰술| 매실청 2큰술| 다진 마늘 1작은술| 후춧가루 조금 [김치찌개 양념] 고춧가루 1큰술| 다진 마늘 1작은술| 소금 적당량,"배추김치,돼지고기목살,대파,두부,떡국떡,멸치국물,김칫국물,김칫국물,다진마늘,들기름,매실청,다진마늘,후춧가루고춧가루,다진마늘,소금"
깻잎장아찌,[재료] 깻잎 40장 [양념] 간장 1/2컵| 고춧가루 1큰술| 다진 대파 3큰술| 다진 풋 고추 2큰술| 다진 마늘 1큰술| 참기름 0.3큰술| 통깨 0.5큰술,깻잎
닭갈비,[재료] 닭볶음탕용 닭 600g| 닭다리 500g| 고구마| 당근| 떡| 양파| 양배추 [양념] 진간장 2소주컵 | 고추장 2소주컵| 맛술 2소주컵| 설탕 2소주컵| 다진마늘 2소주컵| 고추가루| 참기름,"닭볶음탕용닭,닭다리,고구마,당근,떡,양파,양배추"
콩나물무침,[재료] 콩나물 300g| 쪽파 25g| 당근 25g| 국간장 1/2TS| 다진 마늘 1/2TS| 설탕 1/2ts| 소금 적당량| 참기름 1.5TS| 통깨 1ts,"콩나물,쪽파,당근,국간장,다진마늘,설탕,소금,참기름,통깨"
미역줄기볶음,[재료] 염장 미역줄기 300g| 양파 小 1/2개| 당근 약간 [양념] 식용유 3숟갈| 다진마늘 1숟갈| 간장 1/2숟갈| 참기름 2숟갈| 통깨 약간,"염장미역줄기,양파小,당근"
김밥,[재료] 김밥용 김| 밥| 크래미| 청오이| 양상추| 매운불닭통조림| 깻잎 [양념] 소금| [참기름 크래미 샐러드]| 마요네즈,"김밥용김,밥,크래미,청오이,양상추,매운불닭통조림,깻잎"
잡채,[재료] 당면 200g| 표고버섯 4장| 목이버섯 20g| 당근 1/2개| 오이 1/2개| 양파 1/2개| 팽이버섯 1팩| 계란 2개 [양념장] 간장 8T| 설탕 4T| 다진파 1T| 다진마늘 1T| 참기름 1T| 후추 약간| 깨 약간,"당면,표고버섯,목이버섯,당근,오이,양파,팽이버섯,계란"
콩나물무침,[재료] 콩나물 넉넉히 [양념] 마늘| 파| 고춧가루 2큰술| 소금 1작은술| 참기름| 통깨 ? ?,콩나물
김치찌개,[재료] 김치| 돼지고기| 쌀뜨물| 간마늘 1큰술| 파| 고추 [양념] 고추가루| 국간장| 새우젓| 된장(선택),"김치,돼지고기,쌀뜨물,간마늘,파,고추"
닭볶음탕,[재료] 닭다리 2팩| 감자 2개| 양파(1개) 1개| 파 취향껏 [양념] 설탕 3스푼| 다진마늘 1큰술| 고춧가루 1국자| 간장 1국자,"닭다리,감자,양파,파"
꼬막찜,[재료] 꼬막 1kg [양념] 간장 3큰술| 고춧가루 1/2큰술| 맛술 1큰술| 생수 1큰술| 설탕 1/2작은술| 참기름 1큰술 | 다진파 1큰술| 다진고추 1큰술| 다진양파 1+1/2큰술,꼬막
부추김치,[필수 재료] 부추 1단| 밥 3T| 물 1+1/2cup [양념 재료] 고춧가루 1/2cup| 다진마늘 1T| 생강 1/4T| 멸치액젓/새우젓+소금 4T| 매실청 2T| 부순깨 1/2T,"부추,밥,물,다진마늘,생강,멸치액젓"
제육볶음,[재료] 돼지고기(목심) 610g| 양파 1/2개| 깻잎 10장| 대파 약간| 통깨 약간| 식용유 1큰술 [양념] 양조간장 2큰술| 고추장 2+1/2큰술| 고춧가루 1작은술| 매실액 1큰술| 맛술 1큰술| 설탕 1작은술| 다진마늘 1큰술| 후춧가루 약간,"돼지고기,양파,깻잎,대파,통깨,식용유"
떡볶이,[재료] 떡국떡 2컵| 대파 1대 [양념] 물 2컵| 설탕 3큰술| 가는 고춧가루 1큰술| 굵은 고춧가루 0.5큰술| 간장 2큰술| 고추장 1큰술,"떡국떡,대파"
잔치국수,[잔치국수 재료] 소면 120g| 배추김치 1/2컵| 대파 1/2대| 깐마늘 2쪽| 달걀 1개| 김가루 약간 [육수재료] 멸치 7개| 다시마 1조각| 대파 적당량| 마늘 적당량| 물 4컵 [김치양념 재료] 깨소금 1t| 참기름 1t| 고춧가루(기호) 1/2t| 간장 1t [양념재료] 국간장 1T| 참치액젓 1T| 소금 약간,"소면,배추김치,대파,깐마늘,달걀,김가루멸치,다시마,대파,마늘,물,참기름,고춧가루,간장"
새우튀김,[재료] 대하 30마리| 오일 [튀김옷] 밀가루| 계란물| 빵가루 [대하밑간] 후추| 생강즙(생강가루or청주) [소스] 칠리소스| 케찹,"대하,오일밀가루,계란물,빵가루후추,생강즙칠리소스,케찹"
부추김치,[재료] 부추 1단 [양념] 찹쌀풀 1컵| 고춧가루 1컵 반| 멸치액젓 1/2컵| 마늘 1큰술| 생강 약간| 매실청 2큰술,부추
메추리알장조림,[재료] 메추리알 1봉지| 꽈리고추 1봉지| 청양고추 2개 [양념] 간장 1컵| 매실액 1수저,"메추리알,꽈리고추,청양고추"
잡채,[재료] 당면 250~300그램| 당근 2/3개| 양파 1개| 시금치 1/2단| 건표고 3개| 맛간장 7~8큰술| 참기름 3큰술| 설탕 2큰술| 후추 1/2작은술| 통깨 2큰술| 소금 약간 [고기양념] 돼지고기 200그램| 맛술 1큰술| 맛간장 1큰술| 후추 약간,"당면,당근,양파,시금치,건표고,맛간장,참기름,설탕,후추,통깨,소금돼지고기,맛술,맛간장,후추"
콩나물무침,[재료] 다진마늘 1/2작은술| 실파 1큰술| 소금 약간| 깨 약간,"다진마늘,실파,소금,깨"
땅콩조림,[재료] 생땅콩 2+1/2컵| 간장 1+1/2컵| 올리고당 1컵(소주잔기준)| 설탕 1.5T| 깨 2T,"생땅콩,간장,올리고당,설탕,깨"
가지볶음,[재료] 가지 2개| 양파 1/2개| 마늘 3쪽| 대파 약간 [양념] 진간장 2큰술| 고춧가루 1큰술| 올리고당 1큰술| 들기름 1큰술| 후춧가루 약간| 통깨 약간,"가지,양파,마늘,대파"
순두부찌개,[재료] 순두부| 호박| 양파| 청량고추| 대파 [양념] 참기름 1스푼| 고추가루 1스푼| 청주 1스푼| 간장 1스푼,"순두부,호박,양파,청량고추,대파"
미역줄기볶음,[재료] 미역줄기 410g(소금기 있을때 중량)| 청홍고추 4~6개 [양념] 다진마늘 2t| 집간장 1T| 통깨 약간| 참기름 1T,"미역줄기,청홍고추"
파김치,[재료] 새우젓 1T| 간 마늘 1T| 설탕 1T| 고춧가루 1컵| 양파 1/2개| 쪽파 700g| 액젓 80ml| 찹쌀가루 2T| 물 2컵,"새우젓,간마늘,설탕,고춧가루,양파,쪽파,액젓,찹쌀가루,물"
